                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                  1.469,                0.79728,                  1.037,                0.80462,                0.51567,                0.59328,                0.31328,                 1.3887,                0.66722,                 1.0345,               0.009241,               0.009241,               0.009241
                     26,                 1.4824,                0.80153,                 1.0417,                 0.8068,                0.51665,                0.59521,                0.31561,                  1.385,                0.66532,                 1.0326,               0.009208,               0.009208,               0.009208
                     27,                 1.4735,                0.79673,                 1.0361,                0.81817,                0.51434,                0.59627,                 0.3157,                 1.3824,                 0.6601,                 1.0295,               0.009175,               0.009175,               0.009175
                     28,                 1.4669,                0.79048,                 1.0345,                0.80737,                0.51793,                0.59457,                0.31481,                 1.3863,                 0.6613,                 1.0321,               0.009142,               0.009142,               0.009142
                     29,                  1.478,                0.79455,                 1.0352,                0.80684,                0.51922,                0.59626,                0.31542,                 1.3801,                0.65883,                 1.0294,               0.009109,               0.009109,               0.009109
                     30,                 1.4666,                0.78563,                 1.0305,                0.81345,                0.51743,                0.59667,                0.31766,                 1.3758,                0.64901,                 1.0265,               0.009076,               0.009076,               0.009076
                     31,                 1.4614,                  0.785,                 1.0308,                0.80573,                0.52441,                0.60194,                0.31961,                 1.3724,                 0.6502,                 1.0264,               0.009043,               0.009043,               0.009043
                     32,                 1.4634,                0.78495,                   1.03,                0.81169,                0.51881,                0.59713,                0.31653,                 1.3714,                0.64888,                 1.0239,                0.00901,                0.00901,                0.00901
                     33,                 1.4562,                 0.7776,                 1.0319,                0.80824,                 0.5239,                0.60092,                0.31811,                 1.3725,                 0.6479,                 1.0243,               0.008977,               0.008977,               0.008977
                     34,                 1.4608,                0.78239,                 1.0343,                 0.8152,                 0.5246,                0.60352,                0.32082,                 1.3738,                0.64521,                 1.0266,               0.008944,               0.008944,               0.008944
                     35,                 1.4568,                0.77935,                 1.0331,                0.81581,                0.52456,                0.60224,                0.31993,                 1.3704,                0.64374,                 1.0275,               0.008911,               0.008911,               0.008911
                     36,                 1.4511,                0.76946,                 1.0274,                 0.8176,                0.52902,                0.60728,                0.32229,                  1.366,                0.64142,                 1.0232,               0.008878,               0.008878,               0.008878
                     37,                   1.45,                0.76984,                 1.0284,                 0.8169,                0.52652,                0.60466,                0.32245,                 1.3641,                0.63698,                 1.0221,               0.008845,               0.008845,               0.008845
                     38,                 1.4495,                0.76749,                 1.0282,                 0.8147,                0.52902,                0.60759,                0.32213,                 1.3639,                0.63651,                 1.0216,               0.008812,               0.008812,               0.008812
                     39,                  1.447,                0.76387,                 1.0268,                0.82156,                0.52726,                0.60757,                0.32386,                 1.3625,                0.63241,                 1.0208,               0.008779,               0.008779,               0.008779
                     40,                 1.4438,                0.76333,                 1.0252,                0.81094,                 0.5334,                0.61003,                0.32494,                 1.3625,                0.63078,                 1.0217,               0.008746,               0.008746,               0.008746
                     41,                 1.4421,                0.76169,                 1.0255,                0.81466,                0.53125,                0.60807,                0.32363,                  1.361,                0.63154,                 1.0219,               0.008713,               0.008713,               0.008713
                     42,                 1.4381,                0.76428,                 1.0251,                 0.8128,                0.53541,                0.61123,                0.32527,                 1.3571,                0.63195,                 1.0211,                0.00868,                0.00868,                0.00868
                     43,                 1.4432,                0.76062,                 1.0273,                  0.809,                0.53595,                0.61143,                0.32473,                  1.359,                0.62995,                 1.0218,               0.008647,               0.008647,               0.008647
                     44,                 1.4449,                0.76623,                 1.0273,                0.80624,                0.53644,                0.61108,                0.32432,                 1.3596,                0.62857,                 1.0207,               0.008614,               0.008614,               0.008614
                     45,                 1.4417,                0.76109,                 1.0217,                0.81111,                0.53605,                 0.6127,                0.32521,                 1.3593,                0.62836,                 1.0198,               0.008581,               0.008581,               0.008581
                     46,                 1.4321,                0.75374,                 1.0216,                0.81368,                 0.5364,                0.61196,                0.32574,                 1.3587,                0.62687,                 1.0201,               0.008548,               0.008548,               0.008548
                     47,                  1.446,                 0.7608,                 1.0226,                0.80926,                0.53914,                0.61401,                0.32651,                 1.3554,                0.62499,                 1.0183,               0.008515,               0.008515,               0.008515
                     48,                 1.4349,                0.75259,                 1.0236,                 0.8108,                0.53845,                0.61365,                0.32693,                 1.3533,                0.62398,                 1.0167,               0.008482,               0.008482,               0.008482
                     49,                 1.4363,                0.75445,                 1.0237,                0.81126,                0.53949,                0.61408,                0.32765,                 1.3524,                0.62248,                 1.0177,               0.008449,               0.008449,               0.008449
                     50,                 1.4324,                0.74858,                 1.0226,                0.81467,                0.53841,                0.61406,                0.32794,                  1.352,                0.62139,                 1.0183,               0.008416,               0.008416,               0.008416
                     51,                 1.4338,                0.75026,                 1.0216,                0.81477,                 0.5388,                0.61559,                 0.3293,                 1.3514,                0.62012,                 1.0187,               0.008383,               0.008383,               0.008383
                     52,                 1.4261,                0.74897,                 1.0223,                0.81789,                0.53772,                0.61498,                0.32866,                 1.3509,                0.61872,                 1.0174,                0.00835,                0.00835,                0.00835
                     53,                 1.4313,                0.74894,                  1.021,                0.81446,                0.53791,                 0.6149,                0.32906,                 1.3498,                 0.6189,                 1.0167,               0.008317,               0.008317,               0.008317
                     54,                 1.4374,                0.75515,                 1.0203,                0.81533,                0.53649,                0.61463,                0.32942,                 1.3488,                0.61815,                 1.0159,               0.008284,               0.008284,               0.008284
                     55,                 1.4341,                0.75004,                   1.02,                0.81816,                0.53693,                0.61413,                0.32926,                  1.348,                0.61723,                 1.0161,               0.008251,               0.008251,               0.008251
                     56,                 1.4227,                0.74446,                 1.0193,                0.82126,                0.53624,                0.61425,                 0.3296,                 1.3484,                0.61657,                 1.0171,               0.008218,               0.008218,               0.008218
                     57,                 1.4275,                 0.7423,                 1.0168,                0.82008,                0.53633,                0.61454,                0.33001,                 1.3468,                0.61503,                 1.0164,               0.008185,               0.008185,               0.008185
                     58,                 1.4282,                0.74306,                 1.0176,                0.81829,                0.53909,                0.61599,                0.33017,                 1.3465,                0.61423,                 1.0163,               0.008152,               0.008152,               0.008152
                     59,                 1.4247,                0.73917,                  1.015,                 0.8196,                0.53988,                0.61715,                0.33048,                 1.3466,                0.61296,                 1.0165,               0.008119,               0.008119,               0.008119
                     60,                 1.4332,                0.74758,                  1.017,                0.82261,                0.53908,                0.61859,                0.33099,                 1.3464,                0.61228,                 1.0161,               0.008086,               0.008086,               0.008086
                     61,                 1.4205,                0.74213,                 1.0188,                0.82373,                0.53919,                0.61875,                0.33134,                 1.3464,                0.61194,                 1.0162,               0.008053,               0.008053,               0.008053
                     62,                  1.425,                0.74274,                 1.0166,                0.82279,                0.53968,                0.61843,                0.33131,                  1.347,                0.61144,                 1.0159,                0.00802,                0.00802,                0.00802
                     63,                 1.4291,                0.74075,                  1.017,                0.81851,                0.54154,                0.61889,                 0.3315,                 1.3469,                0.61152,                 1.0161,               0.007987,               0.007987,               0.007987
                     64,                 1.4219,                0.74298,                 1.0177,                0.82097,                0.54026,                0.61851,                0.33164,                 1.3466,                0.61163,                  1.016,               0.007954,               0.007954,               0.007954
                     65,                 1.4266,                0.73952,                  1.017,                0.81926,                0.54022,                 0.6187,                0.33209,                 1.3463,                0.61171,                 1.0163,               0.007921,               0.007921,               0.007921
                     66,                 1.4278,                0.74037,                 1.0147,                0.81862,                0.54081,                0.61909,                0.33213,                 1.3457,                0.61062,                 1.0158,               0.007888,               0.007888,               0.007888
                     67,                 1.4183,                0.73243,                 1.0126,                0.81686,                0.54248,                0.61944,                0.33257,                 1.3448,                0.60959,                 1.0152,               0.007855,               0.007855,               0.007855
                     68,                 1.4215,                0.73568,                 1.0146,                0.81829,                0.54322,                0.62038,                0.33265,                 1.3439,                0.60876,                  1.015,               0.007822,               0.007822,               0.007822
                     69,                 1.4224,                 0.7344,                 1.0136,                0.81864,                0.54334,                0.62044,                  0.333,                 1.3438,                0.60831,                  1.015,               0.007789,               0.007789,               0.007789
                     70,                  1.416,                 0.7341,                 1.0113,                0.81974,                0.54415,                0.62089,                0.33331,                 1.3433,                0.60708,                 1.0146,               0.007756,               0.007756,               0.007756
                     71,                 1.4174,                 0.7324,                 1.0141,                0.82096,                 0.5444,                0.62096,                0.33341,                 1.3424,                0.60636,                 1.0143,               0.007723,               0.007723,               0.007723
                     72,                 1.4189,                0.73294,                  1.011,                0.81981,                0.54518,                0.62188,                0.33355,                 1.3424,                0.60576,                 1.0144,                0.00769,                0.00769,                0.00769
                     73,                 1.4138,                0.73535,                 1.0157,                0.81997,                0.54377,                0.62134,                0.33364,                  1.342,                0.60532,                 1.0143,               0.007657,               0.007657,               0.007657
                     74,                 1.4145,                 0.7302,                 1.0136,                0.81922,                0.54459,                0.62154,                0.33371,                 1.3424,                0.60538,                 1.0144,               0.007624,               0.007624,               0.007624
                     75,                 1.4123,                0.72954,                 1.0118,                0.81753,                0.54651,                0.62168,                0.33367,                 1.3424,                0.60525,                 1.0142,               0.007591,               0.007591,               0.007591
                     76,                 1.4134,                0.73017,                 1.0138,                0.81633,                0.54607,                0.62139,                0.33364,                 1.3417,                0.60494,                 1.0138,               0.007558,               0.007558,               0.007558
                     77,                 1.4047,                 0.7226,                  1.009,                0.81883,                0.54415,                0.62148,                0.33379,                 1.3417,                0.60449,                 1.0139,               0.007525,               0.007525,               0.007525
                     78,                 1.4129,                0.73034,                 1.0152,                0.81776,                0.54474,                0.62172,                0.33386,                 1.3414,                0.60429,                 1.0137,               0.007492,               0.007492,               0.007492
                     79,                 1.4083,                0.72722,                 1.0145,                 0.8189,                0.54452,                0.62164,                0.33389,                 1.3411,                0.60379,                 1.0136,               0.007459,               0.007459,               0.007459
                     80,                 1.4136,                0.73059,                 1.0134,                0.81713,                0.54626,                0.62225,                0.33425,                 1.3407,                0.60362,                 1.0134,               0.007426,               0.007426,               0.007426
                     81,                 1.4155,                0.72986,                 1.0126,                0.81597,                0.54607,                 0.6218,                0.33399,                 1.3406,                0.60358,                 1.0133,               0.007393,               0.007393,               0.007393
                     82,                 1.4049,                0.72214,                 1.0108,                0.81612,                0.54587,                0.62191,                0.33446,                 1.3407,                0.60367,                 1.0133,                0.00736,                0.00736,                0.00736
                     83,                 1.4091,                0.72572,                 1.0106,                 0.8181,                0.54601,                0.62233,                0.33441,                 1.3407,                0.60404,                 1.0132,               0.007327,               0.007327,               0.007327
                     84,                 1.4115,                 0.7256,                 1.0107,                0.81762,                0.54695,                0.62245,                0.33442,                 1.3408,                 0.6035,                 1.0133,               0.007294,               0.007294,               0.007294
                     85,                 1.4051,                0.72315,                 1.0097,                0.81982,                0.54646,                0.62276,                0.33442,                 1.3406,                0.60327,                 1.0132,               0.007261,               0.007261,               0.007261
                     86,                 1.4086,                0.72298,                 1.0084,                0.81937,                 0.5468,                 0.6231,                0.33452,                 1.3401,                0.60288,                 1.0131,               0.007228,               0.007228,               0.007228
                     87,                 1.4008,                0.71738,                 1.0089,                0.81983,                 0.5472,                0.62341,                0.33454,                 1.3398,                0.60275,                 1.0129,               0.007195,               0.007195,               0.007195
                     88,                 1.4022,                0.71517,                 1.0057,                0.81868,                0.54715,                0.62308,                0.33477,                 1.3397,                0.60256,                 1.0128,               0.007162,               0.007162,               0.007162
                     89,                 1.4067,                0.71969,                  1.008,                 0.8195,                0.54729,                0.62348,                0.33471,                 1.3396,                0.60243,                 1.0129,               0.007129,               0.007129,               0.007129
                     90,                 1.3997,                0.71888,                 1.0106,                0.81971,                0.54727,                0.62343,                0.33495,                 1.3394,                0.60221,                 1.0129,               0.007096,               0.007096,               0.007096
                     91,                 1.4022,                0.71719,                 1.0091,                0.82048,                0.54767,                0.62366,                0.33503,                 1.3392,                0.60175,                 1.0129,               0.007063,               0.007063,               0.007063
                     92,                 1.3989,                0.71485,                 1.0078,                0.81964,                0.54788,                0.62409,                0.33514,                 1.3395,                0.60185,                  1.013,                0.00703,                0.00703,                0.00703
                     93,                 1.4019,                0.71837,                  1.007,                0.81886,                0.54813,                0.62434,                0.33525,                 1.3396,                 0.6019,                 1.0129,               0.006997,               0.006997,               0.006997
                     94,                 1.3981,                0.71338,                 1.0055,                0.81984,                0.54822,                 0.6247,                0.33542,                 1.3391,                0.60186,                 1.0127,               0.006964,               0.006964,               0.006964
                     95,                 1.3901,                0.70669,                  1.007,                0.82073,                0.54828,                0.62479,                 0.3355,                 1.3388,                0.60193,                 1.0126,               0.006931,               0.006931,               0.006931
                     96,                 1.3936,                0.71641,                  1.006,                0.82038,                0.54833,                0.62487,                0.33563,                 1.3384,                0.60175,                 1.0124,               0.006898,               0.006898,               0.006898
                     97,                 1.4024,                0.71776,                  1.008,                0.82021,                0.54825,                0.62516,                0.33575,                 1.3384,                0.60125,                 1.0122,               0.006865,               0.006865,               0.006865
                     98,                 1.3947,                0.71141,                 1.0071,                0.82041,                0.54842,                0.62523,                0.33571,                 1.3385,                0.60122,                 1.0122,               0.006832,               0.006832,               0.006832
                     99,                 1.3989,                0.71527,                  1.006,                0.82181,                0.54768,                0.62527,                0.33585,                 1.3382,                 0.6009,                 1.0121,               0.006799,               0.006799,               0.006799
                    100,                 1.4007,                0.71242,                 1.0033,                0.82046,                0.54783,                0.62513,                0.33594,                 1.3381,                 0.6008,                  1.012,               0.006766,               0.006766,               0.006766
                    101,                 1.3874,                0.70685,                 1.0052,                0.82125,                0.54761,                0.62544,                0.33618,                 1.3377,                0.60064,                 1.0118,               0.006733,               0.006733,               0.006733
                    102,                 1.3935,                0.71074,                 1.0025,                0.82127,                0.54803,                0.62556,                0.33625,                 1.3374,                0.60067,                 1.0116,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.4003,                0.71297,                 1.0023,                0.82112,                0.54759,                0.62563,                0.33632,                 1.3375,                 0.6007,                 1.0117,               0.006667,               0.006667,               0.006667
                    104,                 1.3879,                0.70909,                 1.0018,                0.82122,                0.54754,                0.62568,                0.33641,                 1.3374,                0.60048,                 1.0116,               0.006634,               0.006634,               0.006634
                    105,                 1.3922,                0.71016,                 1.0032,                0.82129,                0.54845,                0.62607,                0.33655,                 1.3374,                0.60051,                 1.0116,               0.006601,               0.006601,               0.006601
                    106,                 1.3946,                0.71243,                 1.0043,                 0.8213,                0.54869,                0.62641,                0.33664,                 1.3374,                 0.6004,                 1.0115,               0.006568,               0.006568,               0.006568
                    107,                 1.3827,                0.70472,                 1.0035,                0.81958,                0.54931,                0.62647,                0.33678,                 1.3374,                0.60012,                 1.0115,               0.006535,               0.006535,               0.006535
                    108,                 1.3889,                0.70793,                 1.0023,                0.82013,                 0.5498,                0.62686,                0.33676,                 1.3372,                0.59995,                 1.0114,               0.006502,               0.006502,               0.006502
                    109,                 1.3947,                0.70785,                 1.0047,                0.82093,                0.54955,                0.62695,                0.33685,                  1.337,                 0.5999,                 1.0114,               0.006469,               0.006469,               0.006469
                    110,                 1.3854,                0.70081,                 1.0033,                0.82111,                0.54945,                0.62726,                0.33697,                 1.3369,                0.59983,                 1.0113,               0.006436,               0.006436,               0.006436
                    111,                 1.4004,                 0.7117,                 1.0024,                0.82131,                0.54931,                0.62743,                0.33715,                 1.3366,                0.59944,                 1.0112,               0.006403,               0.006403,               0.006403
                    112,                 1.3912,                0.70301,                 1.0046,                 0.8217,                0.54985,                0.62777,                0.33721,                 1.3367,                0.59945,                 1.0112,                0.00637,                0.00637,                0.00637
                    113,                 1.3875,                0.70827,                 1.0035,                0.82263,                0.54887,                0.62762,                0.33739,                 1.3365,                0.59899,                 1.0111,               0.006337,               0.006337,               0.006337
                    114,                 1.3873,                0.70509,                  1.005,                0.82242,                0.54896,                0.62767,                0.33738,                 1.3363,                0.59898,                 1.0111,               0.006304,               0.006304,               0.006304
                    115,                 1.3814,                0.70256,                0.99727,                0.82259,                0.54882,                0.62743,                0.33746,                 1.3361,                0.59874,                 1.0109,               0.006271,               0.006271,               0.006271
                    116,                 1.3888,                0.70403,                0.99954,                 0.8226,                0.54921,                0.62778,                0.33757,                 1.3358,                0.59901,                 1.0108,               0.006238,               0.006238,               0.006238
                    117,                 1.3896,                0.70697,                 1.0004,                0.82318,                0.54945,                0.62767,                0.33751,                 1.3357,                0.59913,                 1.0107,               0.006205,               0.006205,               0.006205
                    118,                 1.3879,                0.70283,                0.99918,                0.82335,                 0.5495,                0.62786,                0.33762,                 1.3356,                0.59905,                 1.0106,               0.006172,               0.006172,               0.006172
                    119,                 1.3902,                0.70605,                0.99902,                0.82395,                0.54916,                0.62786,                 0.3378,                 1.3352,                0.59882,                 1.0105,               0.006139,               0.006139,               0.006139
                    120,                 1.3832,                0.69787,                 1.0025,                0.82258,                 0.5499,                0.62806,                0.33784,                 1.3352,                0.59865,                 1.0105,               0.006106,               0.006106,               0.006106
                    121,                 1.3874,                0.70286,                 0.9999,                0.82202,                0.55039,                0.62833,                0.33815,                 1.3351,                0.59855,                 1.0107,               0.006073,               0.006073,               0.006073
                    122,                 1.3857,                0.70233,                0.99927,                0.82216,                 0.5508,                  0.629,                0.33831,                 1.3352,                0.59858,                 1.0107,                0.00604,                0.00604,                0.00604
                    123,                 1.3858,                0.70197,                0.99712,                0.82175,                0.55103,                0.62892,                0.33843,                 1.3349,                 0.5982,                 1.0105,               0.006007,               0.006007,               0.006007
                    124,                 1.3786,                0.69728,                0.99963,                0.82326,                0.55073,                0.62877,                0.33858,                 1.3349,                0.59783,                 1.0106,               0.005974,               0.005974,               0.005974
                    125,                 1.3786,                0.69268,                0.99773,                0.82349,                0.55068,                 0.6297,                0.33879,                 1.3349,                0.59766,                 1.0104,               0.005941,               0.005941,               0.005941
                    126,                 1.3949,                0.70367,                 1.0003,                0.82373,                0.55044,                0.62983,                0.33901,                 1.3348,                0.59776,                 1.0104,               0.005908,               0.005908,               0.005908
                    127,                 1.3867,                0.70239,                 1.0001,                0.82395,                0.55014,                0.62936,                0.33886,                 1.3346,                0.59752,                 1.0103,               0.005875,               0.005875,               0.005875
                    128,                 1.3803,                0.69582,                0.99711,                0.82454,                0.55068,                 0.6298,                0.33921,                 1.3342,                0.59731,                 1.0103,               0.005842,               0.005842,               0.005842
                    129,                 1.3777,                0.69471,                0.99872,                0.82423,                0.55085,                0.63037,                0.33947,                  1.334,                0.59742,                 1.0102,               0.005809,               0.005809,               0.005809
                    130,                 1.3741,                0.69255,                 1.0009,                0.82481,                0.55054,                0.63002,                0.33908,                 1.3341,                0.59731,                 1.0102,               0.005776,               0.005776,               0.005776
                    131,                 1.3787,                0.69634,                 0.9976,                0.82476,                0.55058,                0.63014,                0.33914,                 1.3339,                0.59748,                 1.0102,               0.005743,               0.005743,               0.005743
                    132,                 1.3768,                0.69408,                0.99817,                0.82489,                0.55117,                0.63065,                 0.3394,                 1.3337,                0.59705,                   1.01,                0.00571,                0.00571,                0.00571
                    133,                 1.3823,                0.69617,                0.99889,                0.82564,                0.55115,                0.63098,                0.33948,                 1.3333,                0.59665,                 1.0097,               0.005677,               0.005677,               0.005677
                    134,                 1.3765,                0.69265,                0.99652,                0.82532,                0.55085,                0.63073,                0.33965,                  1.333,                0.59661,                 1.0096,               0.005644,               0.005644,               0.005644
                    135,                 1.3767,                0.69175,                0.99628,                0.82649,                0.55093,                 0.6308,                0.33964,                 1.3329,                0.59625,                 1.0096,               0.005611,               0.005611,               0.005611
                    136,                 1.3798,                0.69559,                0.99664,                0.82624,                0.55112,                0.63067,                0.33954,                 1.3325,                0.59598,                 1.0095,               0.005578,               0.005578,               0.005578
                    137,                 1.3749,                0.69064,                0.99435,                0.82642,                0.55147,                 0.6311,                 0.3395,                 1.3329,                0.59591,                 1.0096,               0.005545,               0.005545,               0.005545
                    138,                 1.3795,                0.69338,                0.99497,                0.82778,                0.55022,                0.63097,                0.33961,                 1.3326,                0.59568,                 1.0093,               0.005512,               0.005512,               0.005512
                    139,                 1.3767,                0.69199,                 0.9961,                 0.8287,                0.55047,                0.63145,                0.33988,                 1.3325,                0.59553,                 1.0092,               0.005479,               0.005479,               0.005479
                    140,                 1.3773,                0.69169,                0.99446,                0.82719,                0.55128,                 0.6316,                0.34031,                 1.3322,                0.59524,                 1.0089,               0.005446,               0.005446,               0.005446
                    141,                 1.3752,                0.69397,                0.99854,                  0.824,                0.55235,                0.63169,                 0.3403,                  1.332,                0.59498,                 1.0088,               0.005413,               0.005413,               0.005413
                    142,                 1.3656,                0.68489,                0.99408,                0.82572,                0.55215,                0.63217,                0.34039,                 1.3319,                0.59466,                 1.0088,                0.00538,                0.00538,                0.00538
                    143,                 1.3649,                0.68395,                0.99551,                0.82382,                0.55289,                0.63181,                0.34036,                 1.3316,                0.59432,                 1.0087,               0.005347,               0.005347,               0.005347
                    144,                 1.3734,                 0.6892,                0.99345,                 0.8243,                0.55279,                0.63185,                0.34027,                 1.3316,                0.59408,                 1.0087,               0.005314,               0.005314,               0.005314
                    145,                 1.3682,                0.68604,                0.99237,                0.82312,                0.55353,                0.63184,                0.34034,                 1.3314,                0.59393,                 1.0085,               0.005281,               0.005281,               0.005281
                    146,                 1.3691,                0.68676,                0.99395,                0.82281,                0.55326,                0.63198,                0.34038,                 1.3314,                0.59353,                 1.0085,               0.005248,               0.005248,               0.005248
                    147,                 1.3712,                0.68716,                0.99482,                0.82282,                0.55397,                0.63189,                0.34038,                 1.3314,                0.59346,                 1.0083,               0.005215,               0.005215,               0.005215
                    148,                 1.3738,                 0.6874,                0.99247,                0.82357,                0.55378,                0.63172,                0.34032,                 1.3311,                0.59309,                 1.0081,               0.005182,               0.005182,               0.005182
                    149,                 1.3698,                0.68941,                0.99034,                0.82248,                0.55383,                0.63171,                0.34024,                  1.331,                0.59295,                 1.0079,               0.005149,               0.005149,               0.005149
                    150,                 1.3654,                0.68589,                0.99287,                0.82155,                0.55422,                0.63179,                0.34017,                 1.3311,                0.59295,                 1.0078,               0.005116,               0.005116,               0.005116
                    151,                 1.3675,                 0.6843,                0.99281,                0.82365,                0.55324,                0.63179,                0.34035,                 1.3308,                0.59272,                 1.0079,               0.005083,               0.005083,               0.005083
                    152,                 1.3683,                 0.6835,                0.99382,                0.82408,                0.55304,                 0.6317,                0.34042,                 1.3307,                 0.5924,                 1.0078,                0.00505,                0.00505,                0.00505
                    153,                 1.3698,                0.68492,                0.99352,                0.82535,                0.55189,                0.63188,                0.34066,                 1.3305,                0.59222,                 1.0078,               0.005017,               0.005017,               0.005017
                    154,                 1.3685,                0.68492,                0.99299,                0.82573,                0.55243,                0.63208,                0.34078,                 1.3304,                0.59185,                 1.0078,               0.004984,               0.004984,               0.004984
                    155,                 1.3626,                0.67738,                0.98902,                0.82532,                0.55294,                0.63223,                0.34076,                 1.3305,                0.59177,                 1.0078,               0.004951,               0.004951,               0.004951
                    156,                 1.3636,                   0.68,                0.99243,                0.82667,                0.55348,                0.63295,                0.34098,                 1.3303,                0.59152,                 1.0078,               0.004918,               0.004918,               0.004918
                    157,                 1.3594,                 0.6781,                0.98973,                0.82475,                0.55373,                 0.6325,                0.34107,                 1.3302,                0.59135,                 1.0076,               0.004885,               0.004885,               0.004885
                    158,                 1.3678,                0.68295,                0.99046,                0.82561,                0.55402,                 0.6329,                0.34107,                 1.3301,                0.59135,                 1.0076,               0.004852,               0.004852,               0.004852
                    159,                 1.3645,                 0.6831,                0.99186,                0.82534,                0.55491,                0.63334,                0.34127,                 1.3299,                0.59096,                 1.0075,               0.004819,               0.004819,               0.004819
